Combination,freq,sumoutput,win,wr,avg out,freqnon,winnon,wrnon,sumnon,freqab,winab,wrab,sumab,freqinv,wininv,wrinv,suminv
BJauhMendekatiBesarNo,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BTdk JauhCuramKecilYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BTdk JauhCuramKecilNo,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BTdk JauhCuramSedangYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BTdk JauhCuramSedangNo,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BTdk JauhCuramBesarYes,2,-2.05%,1,50%,1,1,0,0.00%,-3.00%,0,0,0.00%,0.00%,1,1,50.00%,0.95%
BTdk JauhCuramBesarNo,25,59.64%,14,56%,10,10,0,0.00%,-11.10%,3,3,12.00%,12.70%,12,11,44.00%,58.04%
BTdk JauhJauhKecilYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BTdk JauhJauhKecilNo,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BTdk JauhJauhSedangYes,1,-1.00%,0,0%,1,1,0,0.00%,-1.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BTdk JauhJauhSedangNo,18,57.50%,12,67%,4,4,0,0.00%,-4.66%,6,4,22.22%,9.43%,8,8,44.44%,52.73%
BTdk JauhJauhBesarYes,1,7.38%,1,100%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,1,1,100.00%,7.38%
BTdk JauhJauhBesarNo,39,43.32%,23,59%,12,12,1,2.56%,-12.81%,16,12,30.77%,17.88%,11,10,25.64%,38.25%
BTdk JauhTdk JauhKecilYes,1,-0.93%,0,0%,1,1,0,0.00%,-0.93%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BTdk JauhTdk JauhKecilNo,6,23.64%,5,83%,1,1,0,0.00%,-1.20%,3,3,50.00%,11.33%,2,2,33.33%,13.51%
BTdk JauhTdk JauhSedangYes,9,41.70%,5,56%,2,2,0,0.00%,-3.50%,3,2,22.22%,33.90%,4,3,33.33%,11.30%
BTdk JauhTdk JauhSedangNo,24,53.52%,17,71%,3,3,0,0.00%,-5.02%,12,10,41.67%,32.55%,9,7,29.17%,25.99%
BTdk JauhTdk JauhBesarYes,5,29.66%,4,80%,1,1,0,0.00%,-1.17%,1,1,20.00%,4.27%,3,3,60.00%,26.56%
BTdk JauhTdk JauhBesarNo,3,23.63%,2,67%,1,1,0,0.00%,-0.64%,1,1,33.33%,10.35%,1,1,33.33%,13.92%
BTdk JauhnondefKecilYes,2,6.28%,2,100%,0,0,0,0.00%,0.00%,1,1,50.00%,1.15%,1,1,50.00%,5.13%
BTdk JauhnondefKecilNo,5,17.30%,3,60%,1,1,0,0.00%,-1.00%,2,1,20.00%,0.99%,2,2,40.00%,17.31%
BTdk JauhnondefSedangYes,3,22.87%,2,67%,0,0,0,0.00%,0.00%,1,1,33.33%,16.54%,2,1,33.33%,6.33%
BTdk JauhnondefSedangNo,1,-3.00%,0,0%,1,1,0,0.00%,-3.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BTdk JauhnondefBesarYes,3,10.80%,3,100%,0,0,0,0.00%,0.00%,2,2,66.67%,6.25%,1,1,33.33%,4.55%
BTdk JauhnondefBesarNo,3,3.80%,3,100%,0,0,0,0.00%,0.00%,3,3,100.00%,3.80%,0,0,0.00%,0.00%
BTdk JauhMendekatiKecilYes,1,0.01%,1,100%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,1,1,100.00%,0.01%
BTdk JauhMendekatiKecilNo,2,5.19%,2,100%,0,0,0,0.00%,0.00%,1,1,50.00%,1.06%,1,1,50.00%,4.13%
BTdk JauhMendekatiSedangYes,2,9.18%,1,50%,1,1,0,0.00%,-1.00%,1,1,50.00%,10.18%,0,0,0.00%,0.00%
BTdk JauhMendekatiSedangNo,6,-2.59%,2,33%,3,3,1,16.67%,-2.02%,1,1,16.67%,1.00%,2,0,0.00%,-1.57%
BTdk JauhMendekatiBesarYes,2,0.60%,2,100%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,2,2,100.00%,0.60%
BTdk JauhMendekatiBesarNo,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BnondefCuramKecilYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BnondefCuramKecilNo,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BnondefCuramSedangYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BnondefCuramSedangNo,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BnondefCuramBesarYes,2,2.46%,1,50%,1,1,0,0.00%,-4.00%,0,0,0.00%,0.00%,1,1,50.00%,6.46%
BnondefCuramBesarNo,8,-1.74%,4,50%,5,5,1,12.50%,-4.78%,2,2,25.00%,2.00%,1,1,12.50%,1.04%
BnondefJauhKecilYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BnondefJauhKecilNo,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BnondefJauhSedangYes,3,-4.75%,1,33%,2,2,0,0.00%,-5.30%,1,1,33.33%,0.55%,0,0,0.00%,0.00%
BnondefJauhSedangNo,6,37.68%,5,83%,1,1,0,0.00%,-1.28%,1,1,16.67%,5.30%,4,4,66.67%,33.66%
